Event, epi, step, time, tourCount, swapCount, nowScore, bestScore, sec 
learn begin ,1 ,1 ,1 ,1 ,0 ,46.8973 ,46.8973 ,0.000162
update best ,1 ,200 ,200 ,1 ,200 ,7.86783 ,7.86783 ,2.77597
epi end ,1 ,201 ,201 ,1 ,200 ,7.86783 ,7.86783 ,2.77598
update best ,2 ,21 ,221 ,1 ,221 ,7.74827 ,7.74827 ,3.73263
local optima ,2 ,22 ,222 ,1 ,221 ,7.74827 ,7.74827 ,3.7328
new initTour ,2 ,22 ,222 ,2 ,0 ,47.1443 ,7.74827 ,3.73294
epi end ,2 ,201 ,401 ,2 ,179 ,36.677 ,7.74827 ,13.3569
epi begin ,3 ,1 ,401 ,2 ,179 ,36.677 ,7.74827 ,15.8894
epi end ,3 ,201 ,601 ,2 ,379 ,29.0092 ,7.74827 ,22.4128
epi begin ,4 ,1 ,601 ,2 ,379 ,29.0092 ,7.74827 ,25.1493
epi end ,4 ,201 ,801 ,2 ,579 ,21.3871 ,7.74827 ,28.8615
epi begin ,5 ,1 ,801 ,2 ,579 ,21.3871 ,7.74827 ,31.7053
epi end ,5 ,201 ,1001 ,2 ,779 ,15.613 ,7.74827 ,33.6362
epi begin ,6 ,1 ,1001 ,2 ,779 ,15.613 ,7.74827 ,35.3833
epi end ,6 ,201 ,1201 ,2 ,979 ,12.002 ,7.74827 ,36.1892
epi begin ,7 ,1 ,1201 ,2 ,979 ,12.002 ,7.74827 ,37.2833
epi end ,7 ,201 ,1401 ,2 ,1179 ,8.7248 ,7.74827 ,37.5301
epi begin ,8 ,1 ,1401 ,2 ,1179 ,8.7248 ,7.74827 ,38.0488
update best ,8 ,54 ,1454 ,2 ,1233 ,7.69626 ,7.69626 ,38.071
local optima ,8 ,55 ,1455 ,2 ,1233 ,7.69626 ,7.69626 ,38.0711
new initTour ,8 ,55 ,1455 ,3 ,0 ,47.0761 ,7.69626 ,38.0712
epi end ,8 ,201 ,1601 ,3 ,146 ,38.4133 ,7.69626 ,46.1069
epi begin ,9 ,1 ,1601 ,3 ,146 ,38.4133 ,7.69626 ,47.3124
epi end ,9 ,201 ,1801 ,3 ,346 ,31.2563 ,7.69626 ,54.689
epi begin ,10 ,1 ,1801 ,3 ,346 ,31.2563 ,7.69626 ,57.0378
learn ends ,10 ,123 ,1923 ,3 ,468 ,24.7457 ,7.69626 ,60.0131
