Event, epi, step, time, tourCount, swapCount, nowScore, bestScore, sec 
learn begin ,1 ,1 ,1 ,1 ,0 ,47.1045 ,47.1045 ,0.00016
update best ,1 ,223 ,223 ,1 ,223 ,7.62424 ,7.62424 ,2.49274
local optima ,1 ,224 ,224 ,1 ,223 ,7.62424 ,7.62424 ,2.49286
new initTour ,1 ,224 ,224 ,2 ,0 ,49.6238 ,7.62424 ,2.49299
epi end ,1 ,401 ,401 ,2 ,177 ,8.29771 ,7.62424 ,5.05266
epi begin ,2 ,1 ,401 ,2 ,177 ,8.29771 ,7.62424 ,6.92596
update best ,2 ,97 ,497 ,2 ,274 ,7.50388 ,7.50388 ,6.96217
local optima ,2 ,98 ,498 ,2 ,274 ,7.50388 ,7.50388 ,6.96228
new initTour ,2 ,98 ,498 ,3 ,0 ,48.2395 ,7.50388 ,6.96241
epi end ,2 ,401 ,801 ,3 ,303 ,31.471 ,7.50388 ,17.6808
epi begin ,3 ,1 ,801 ,3 ,303 ,31.471 ,7.50388 ,21.0516
epi end ,3 ,401 ,1201 ,3 ,703 ,19.8213 ,7.50388 ,26.6563
epi begin ,4 ,1 ,1201 ,3 ,703 ,19.8213 ,7.50388 ,29.4715
epi end ,4 ,401 ,1601 ,3 ,1103 ,13.4738 ,7.50388 ,31.8005
epi begin ,5 ,1 ,1601 ,3 ,1103 ,13.4738 ,7.50388 ,34.5401
local optima ,5 ,383 ,1983 ,3 ,1485 ,7.70975 ,7.50388 ,35.1442
new initTour ,5 ,383 ,1983 ,4 ,0 ,48.8225 ,7.50388 ,35.1443
epi end ,5 ,401 ,2001 ,4 ,18 ,48.0213 ,7.50388 ,36.3826
epi begin ,6 ,1 ,2001 ,4 ,18 ,48.0213 ,7.50388 ,37.7554
epi end ,6 ,401 ,2401 ,4 ,418 ,30.829 ,7.50388 ,52.1845
epi begin ,7 ,1 ,2401 ,4 ,418 ,30.829 ,7.50388 ,54.5077
epi end ,7 ,401 ,2801 ,4 ,818 ,16.5466 ,7.50388 ,59.7519
epi begin ,8 ,1 ,2801 ,4 ,818 ,16.5466 ,7.50388 ,62.8964
learn ends ,8 ,2 ,2802 ,4 ,819 ,16.5241 ,7.50388 ,62.9032
