Event, epi, step, time, tourCount, swapCount, nowScore, bestScore, sec 
learn begin ,1 ,1 ,1 ,1 ,0 ,47.1045 ,47.1045 ,0.00019
update best ,1 ,214 ,214 ,1 ,214 ,7.82379 ,7.82379 ,1.29976
local optima ,1 ,215 ,215 ,1 ,214 ,7.82379 ,7.82379 ,1.29996
new initTour ,1 ,215 ,215 ,2 ,0 ,49.6238 ,7.82379 ,1.30012
update best ,1 ,434 ,434 ,2 ,220 ,7.76325 ,7.76325 ,2.65966
local optima ,1 ,435 ,435 ,2 ,220 ,7.76325 ,7.76325 ,2.65978
new initTour ,1 ,435 ,435 ,3 ,0 ,48.2395 ,7.76325 ,2.65987
update best ,1 ,659 ,659 ,3 ,225 ,7.45948 ,7.45948 ,3.99636
local optima ,1 ,660 ,660 ,3 ,225 ,7.45948 ,7.45948 ,3.99647
new initTour ,1 ,660 ,660 ,4 ,0 ,48.8225 ,7.45948 ,3.99657
local optima ,1 ,900 ,900 ,4 ,240 ,7.6379 ,7.45948 ,5.46418
new initTour ,1 ,900 ,900 ,5 ,0 ,48.3796 ,7.45948 ,5.46428
local optima ,1 ,1126 ,1126 ,5 ,226 ,7.63225 ,7.45948 ,6.75201
new initTour ,1 ,1126 ,1126 ,6 ,0 ,46.3105 ,7.45948 ,6.75211
local optima ,1 ,1345 ,1345 ,6 ,219 ,7.79978 ,7.45948 ,7.91552
new initTour ,1 ,1345 ,1345 ,7 ,0 ,48.1431 ,7.45948 ,7.91562
local optima ,1 ,1573 ,1573 ,7 ,228 ,7.50692 ,7.45948 ,9.22822
new initTour ,1 ,1573 ,1573 ,8 ,0 ,47.6027 ,7.45948 ,9.22832
local optima ,1 ,1814 ,1814 ,8 ,241 ,7.68979 ,7.45948 ,10.4807
new initTour ,1 ,1814 ,1814 ,9 ,0 ,46.1279 ,7.45948 ,10.4808
local optima ,1 ,2041 ,2041 ,9 ,227 ,7.58563 ,7.45948 ,11.583
new initTour ,1 ,2041 ,2041 ,10 ,0 ,48.5566 ,7.45948 ,11.5831
local optima ,1 ,2255 ,2255 ,10 ,214 ,7.80034 ,7.45948 ,12.8884
new initTour ,1 ,2255 ,2255 ,11 ,0 ,46.5683 ,7.45948 ,12.8885
local optima ,1 ,2479 ,2479 ,11 ,224 ,7.71018 ,7.45948 ,14.005
new initTour ,1 ,2479 ,2479 ,12 ,0 ,47.0575 ,7.45948 ,14.0051
local optima ,1 ,2697 ,2697 ,12 ,218 ,7.6284 ,7.45948 ,15.1247
new initTour ,1 ,2697 ,2697 ,13 ,0 ,48.9108 ,7.45948 ,15.1248
local optima ,1 ,2923 ,2923 ,13 ,226 ,7.63352 ,7.45948 ,16.3941
new initTour ,1 ,2923 ,2923 ,14 ,0 ,50.2855 ,7.45948 ,16.3942
local optima ,1 ,3152 ,3152 ,14 ,229 ,7.76972 ,7.45948 ,17.7729
new initTour ,1 ,3152 ,3152 ,15 ,0 ,46.5398 ,7.45948 ,17.773
epi end ,1 ,3201 ,3201 ,15 ,49 ,21.7824 ,7.45948 ,18.6839
epi begin ,2 ,1 ,3201 ,15 ,49 ,21.7824 ,7.45948 ,27.8427
local optima ,2 ,1309 ,4509 ,15 ,1357 ,7.65523 ,7.45948 ,31.236
new initTour ,2 ,1309 ,4509 ,16 ,0 ,49.0734 ,7.45948 ,31.2361
epi end ,2 ,3201 ,6401 ,16 ,1892 ,12.1848 ,7.45948 ,50.9382
epi begin ,3 ,1 ,6401 ,16 ,1892 ,12.1848 ,7.45948 ,60.5377
learn ends ,3 ,2 ,6402 ,16 ,1893 ,12.1054 ,7.45948 ,60.5395
