Event, epi, step, time, tourCount, swapCount, nowScore, bestScore, sec 
learn begin ,1 ,1 ,1 ,1 ,0 ,49.8626 ,49.8626 ,0.000174
update best ,1 ,200 ,200 ,1 ,200 ,8.13952 ,8.13952 ,1.49876
epi end ,1 ,201 ,201 ,1 ,200 ,8.13952 ,8.13952 ,1.49876
update best ,2 ,35 ,235 ,1 ,235 ,7.96864 ,7.96864 ,1.90654
local optima ,2 ,36 ,236 ,1 ,235 ,7.96864 ,7.96864 ,1.90667
new initTour ,2 ,36 ,236 ,2 ,0 ,47.4805 ,7.96864 ,1.90678
epi end ,2 ,201 ,401 ,2 ,165 ,38.2291 ,7.96864 ,6.39902
epi begin ,3 ,1 ,401 ,2 ,165 ,38.2291 ,7.96864 ,7.33665
epi end ,3 ,201 ,601 ,2 ,365 ,28.5858 ,7.96864 ,10.4605
epi begin ,4 ,1 ,601 ,2 ,365 ,28.5858 ,7.96864 ,11.4648
epi end ,4 ,201 ,801 ,2 ,565 ,20.7076 ,7.96864 ,13.0608
epi begin ,5 ,1 ,801 ,2 ,565 ,20.7076 ,7.96864 ,14.1046
epi end ,5 ,201 ,1001 ,2 ,765 ,14.1253 ,7.96864 ,14.81
epi begin ,6 ,1 ,1001 ,2 ,765 ,14.1253 ,7.96864 ,15.4134
epi end ,6 ,201 ,1201 ,2 ,965 ,10.7961 ,7.96864 ,15.7283
epi begin ,7 ,1 ,1201 ,2 ,965 ,10.7961 ,7.96864 ,16.0531
epi end ,7 ,201 ,1401 ,2 ,1165 ,8.21639 ,7.96864 ,16.1749
epi begin ,8 ,1 ,1401 ,2 ,1165 ,8.21639 ,7.96864 ,16.3565
update best ,8 ,23 ,1423 ,2 ,1188 ,7.65484 ,7.65484 ,16.3624
local optima ,8 ,24 ,1424 ,2 ,1188 ,7.65484 ,7.65484 ,16.3625
new initTour ,8 ,24 ,1424 ,3 ,0 ,46.2831 ,7.65484 ,16.3626
epi end ,8 ,201 ,1601 ,3 ,177 ,34.3849 ,7.65484 ,20.0857
epi begin ,9 ,1 ,1601 ,3 ,177 ,34.3849 ,7.65484 ,20.4881
epi end ,9 ,201 ,1801 ,3 ,377 ,26.8113 ,7.65484 ,23.2801
epi begin ,10 ,1 ,1801 ,3 ,377 ,26.8113 ,7.65484 ,24.0487
epi end ,10 ,201 ,2001 ,3 ,577 ,19.9295 ,7.65484 ,25.759
epi begin ,11 ,1 ,2001 ,3 ,577 ,19.9295 ,7.65484 ,26.747
epi end ,11 ,201 ,2201 ,3 ,777 ,14.426 ,7.65484 ,27.5196
epi begin ,12 ,1 ,2201 ,3 ,777 ,14.426 ,7.65484 ,28.1424
epi end ,12 ,201 ,2401 ,3 ,977 ,11.5193 ,7.65484 ,28.5163
epi begin ,13 ,1 ,2401 ,3 ,977 ,11.5193 ,7.65484 ,28.8851
epi end ,13 ,201 ,2601 ,3 ,1177 ,9.38816 ,7.65484 ,29.0912
epi begin ,14 ,1 ,2601 ,3 ,1177 ,9.38816 ,7.65484 ,29.2844
update best ,14 ,129 ,2729 ,3 ,1306 ,7.53516 ,7.53516 ,29.3386
local optima ,14 ,130 ,2730 ,3 ,1306 ,7.53516 ,7.53516 ,29.3387
new initTour ,14 ,130 ,2730 ,4 ,0 ,47.5277 ,7.53516 ,29.3388
epi end ,14 ,201 ,2801 ,4 ,71 ,40.218 ,7.53516 ,31.4641
epi begin ,15 ,1 ,2801 ,4 ,71 ,40.218 ,7.53516 ,31.7668
epi end ,15 ,201 ,3001 ,4 ,271 ,28.9246 ,7.53516 ,35.291
epi begin ,16 ,1 ,3001 ,4 ,271 ,28.9246 ,7.53516 ,35.949
epi end ,16 ,201 ,3201 ,4 ,471 ,23.0546 ,7.53516 ,38.4014
epi begin ,17 ,1 ,3201 ,4 ,471 ,23.0546 ,7.53516 ,39.319
