Event, epi, step, time, tourCount, swapCount, nowScore, bestScore, sec 
learn begin ,1 ,1 ,1 ,1 ,0 ,50.7322 ,50.7322 ,0.000151
update best ,1 ,231 ,231 ,1 ,231 ,7.76674 ,7.76674 ,1.62261
local optima ,1 ,232 ,232 ,1 ,231 ,7.76674 ,7.76674 ,1.62284
new initTour ,1 ,232 ,232 ,2 ,0 ,45.9468 ,7.76674 ,1.62297
update best ,1 ,449 ,449 ,2 ,218 ,7.60427 ,7.60427 ,2.89054
local optima ,1 ,450 ,450 ,2 ,218 ,7.60427 ,7.60427 ,2.89066
new initTour ,1 ,450 ,450 ,3 ,0 ,46.4732 ,7.60427 ,2.89077
local optima ,1 ,669 ,669 ,3 ,219 ,7.66476 ,7.60427 ,4.31342
new initTour ,1 ,669 ,669 ,4 ,0 ,49.3006 ,7.60427 ,4.31353
update best ,1 ,902 ,902 ,4 ,234 ,7.53328 ,7.53328 ,5.81949
local optima ,1 ,903 ,903 ,4 ,234 ,7.53328 ,7.53328 ,5.81961
new initTour ,1 ,903 ,903 ,5 ,0 ,47.0921 ,7.53328 ,5.81972
local optima ,1 ,1135 ,1135 ,5 ,232 ,7.6386 ,7.53328 ,7.19886
new initTour ,1 ,1135 ,1135 ,6 ,0 ,48.1877 ,7.53328 ,7.19897
local optima ,1 ,1358 ,1358 ,6 ,223 ,7.73911 ,7.53328 ,8.58722
new initTour ,1 ,1358 ,1358 ,7 ,0 ,48.185 ,7.53328 ,8.58733
local optima ,1 ,1587 ,1587 ,7 ,229 ,7.58607 ,7.53328 ,10.0485
new initTour ,1 ,1587 ,1587 ,8 ,0 ,49.343 ,7.53328 ,10.0486
update best ,1 ,1820 ,1820 ,8 ,234 ,7.50359 ,7.50359 ,11.5039
local optima ,1 ,1821 ,1821 ,8 ,234 ,7.50359 ,7.50359 ,11.504
new initTour ,1 ,1821 ,1821 ,9 ,0 ,49.8761 ,7.50359 ,11.5041
local optima ,1 ,2044 ,2044 ,9 ,223 ,7.63536 ,7.50359 ,13.0076
new initTour ,1 ,2044 ,2044 ,10 ,0 ,48.4741 ,7.50359 ,13.0077
local optima ,1 ,2264 ,2264 ,10 ,220 ,7.71579 ,7.50359 ,14.4352
new initTour ,1 ,2264 ,2264 ,11 ,0 ,50.1772 ,7.50359 ,14.4353
local optima ,1 ,2488 ,2488 ,11 ,224 ,7.69684 ,7.50359 ,15.9592
new initTour ,1 ,2488 ,2488 ,12 ,0 ,48.0669 ,7.50359 ,15.9593
local optima ,1 ,2717 ,2717 ,12 ,229 ,7.79601 ,7.50359 ,17.3409
new initTour ,1 ,2717 ,2717 ,13 ,0 ,47.4364 ,7.50359 ,17.341
local optima ,1 ,2944 ,2944 ,13 ,227 ,7.60335 ,7.50359 ,18.6053
new initTour ,1 ,2944 ,2944 ,14 ,0 ,47.8085 ,7.50359 ,18.6054
local optima ,1 ,3164 ,3164 ,14 ,220 ,7.562 ,7.50359 ,19.9855
new initTour ,1 ,3164 ,3164 ,15 ,0 ,45.3573 ,7.50359 ,19.9856
epi end ,1 ,3201 ,3201 ,15 ,37 ,25.3742 ,7.50359 ,20.7731
epi begin ,2 ,1 ,3201 ,15 ,37 ,25.3742 ,7.50359 ,30.4857
local optima ,2 ,2276 ,5476 ,15 ,2312 ,7.7995 ,7.50359 ,39.6317
new initTour ,2 ,2276 ,5476 ,16 ,0 ,48.4518 ,7.50359 ,39.6318
epi end ,2 ,3201 ,6401 ,16 ,925 ,25.7269 ,7.50359 ,57.7238
epi begin ,3 ,1 ,6401 ,16 ,925 ,25.7269 ,7.50359 ,68.3158
learn ends ,3 ,2 ,6402 ,16 ,926 ,25.6172 ,7.50359 ,68.3267
