Event, epi, step, time, tourCount, swapCount, nowScore, bestScore, sec 
learn begin ,1 ,1 ,1 ,1 ,0 ,50.7322 ,50.7322 ,0.000204
update best ,1 ,228 ,228 ,1 ,228 ,7.67109 ,7.67109 ,3.53272
local optima ,1 ,229 ,229 ,1 ,228 ,7.67109 ,7.67109 ,3.53284
new initTour ,1 ,229 ,229 ,2 ,0 ,45.9468 ,7.67109 ,3.53297
epi end ,1 ,401 ,401 ,2 ,172 ,8.11412 ,7.67109 ,6.23153
epi begin ,2 ,1 ,401 ,2 ,172 ,8.11412 ,7.67109 ,8.63025
update best ,2 ,71 ,471 ,2 ,243 ,7.60295 ,7.60295 ,8.65592
local optima ,2 ,72 ,472 ,2 ,243 ,7.60295 ,7.60295 ,8.65605
new initTour ,2 ,72 ,472 ,3 ,0 ,46.4732 ,7.60295 ,8.65618
epi end ,2 ,401 ,801 ,3 ,329 ,29.2357 ,7.60295 ,22.7795
epi begin ,3 ,1 ,801 ,3 ,329 ,29.2357 ,7.60295 ,27.0563
epi end ,3 ,401 ,1201 ,3 ,729 ,15.7997 ,7.60295 ,32.8491
epi begin ,4 ,1 ,1201 ,3 ,729 ,15.7997 ,7.60295 ,36.7408
epi end ,4 ,401 ,1601 ,3 ,1129 ,8.27729 ,7.60295 ,37.9011
epi begin ,5 ,1 ,1601 ,3 ,1129 ,8.27729 ,7.60295 ,40.8194
local optima ,5 ,32 ,1632 ,3 ,1160 ,7.72083 ,7.60295 ,40.8303
new initTour ,5 ,32 ,1632 ,4 ,0 ,49.3006 ,7.60295 ,40.8304
epi end ,5 ,401 ,2001 ,4 ,369 ,33.4005 ,7.60295 ,59.124
epi begin ,6 ,1 ,2001 ,4 ,369 ,33.4005 ,7.60295 ,63.1127
learn ends ,6 ,2 ,2002 ,4 ,370 ,33.3071 ,7.60295 ,63.1492
