Best Score, SEED, HMIN, HMAX, T, TMAX, MMAX, alpha, beta, gamma, LAMBDA
8.31671, 1070671, 3, 4, 717, 1627, 4702, 3.5947, 0.717909, 0.661721, 8
8.34385, 1070672, 7, 7, 3071, 4613, 13811, 1.68392, 0.266112, 0.761224, 4
8.4929, 1070673, 3, 3, 138, 439, 1273, 3.94477, 0.691007, 0.516406, 17
8.35011, 1070674, 3, 3, 191, 452, 1261, 3.76334, 0.693057, 0.724975, 3
8.23377, 1070675, 4, 5, 2395, 4456, 10050, 1.91563, 0.904039, 0.686365, 15
8.28045, 1070676, 5, 5, 1741, 2816, 7572, 2.2299, 0.693778, 0.371327, 16
8.30187, 1070677, 5, 5, 1226, 2617, 6923, 3.89387, 0.781632, 0.603417, 3
8.49565, 1070678, 4, 7, 5477, 5847, 13534, 3.01195, 0.460488, 0.698978, 21
8.25277, 1070679, 4, 7, 8547, 12235, 23262, 3.69826, 0.514091, 0.691773, 15
8.33798, 1070680, 4, 4, 344, 845, 1860, 1.43076, 0.559042, 0.494174, 9
8.39206, 1070681, 4, 4, 694, 1305, 1954, 3.02529, 0.0283684, 0.121533, 16
8.39319, 1070682, 4, 4, 283, 650, 1439, 3.60392, 0.400282, 0.122741, 5
8.09699, 1070683, 5, 7, 11113, 32552, 46416, 3.79635, 0.281998, 0.679292, 20
8.2681, 1070684, 3, 7, 4952, 12061, 27983, 3.95968, 0.578786, 0.0543128, 18
8.24837, 1070685, 3, 3, 136, 329, 780, 2.81976, 0.116611, 0.661365, 10
8.35895, 1070686, 4, 6, 4041, 11502, 14390, 1.78067, 0.335462, 0.727548, 11
8.23285, 1070687, 3, 7, 10006, 13310, 18008, 1.69438, 0.575297, 0.171732, 19
8.22079, 1070688, 5, 6, 3599, 9199, 24646, 1.94548, 0.771495, 0.268583, 4
8.42498, 1070689, 3, 3, 240, 438, 766, 2.14539, 0.221148, 0.0973542, 9
8.36342, 1070690, 3, 5, 1971, 3993, 8859, 1.04844, 0.0971525, 0.912081, 8
8.27362, 1070691, 3, 3, 256, 703, 2103, 2.23742, 0.476549, 0.527612, 14
8.24178, 1070692, 4, 7, 10821, 23952, 50410, 2.84869, 0.376779, 0.332299, 8
8.44413, 1070693, 3, 3, 241, 505, 1197, 2.20046, 0.512667, 0.0457631, 14
8.25602, 1070694, 3, 7, 13013, 13395, 38533, 1.64195, 0.904445, 0.186542, 12
8.33105, 1070695, 6, 6, 1997, 5426, 12410, 2.84101, 0.343173, 0.668202, 4
8.29051, 1070696, 5, 5, 1461, 2926, 6148, 3.54744, 0.835036, 0.478767, 7
8.19984, 1070697, 3, 7, 11748, 15221, 26344, 1.1265, 0.384368, 0.317701, 2
8.3244, 1070698, 6, 6, 3506, 5710, 12015, 1.04197, 0.31432, 0.675344, 10
8.42965, 1070699, 3, 4, 901, 2421, 4985, 1.75039, 0.281182, 0.50285, 21
